customer_id,first_name,last_name,date_of_birth,email,street_address,city,state,postal_code,signup_date,segment,kyc_status
c00014,James,Smith,1985-12-31,james.smith14@example.com,6799 Johnson Harbor Suite 299,Houston,TX,92966,2019-02-11,Mass,Approved
c00015,Debra,Buchanan,1993-10-13,debra.buchanan15@example.com,65307 Prince Brooks Suite 444,Dallas,TX,68289,2021-01-31,Mass,Approved
c00016,Amy,Sanchez,1962-01-08,amy.sanchez16@example.com,132 Mccann Mills Suite 469,Phoenix,AZ,38724,2021-04-29,Mass,Approved
c00017,Jeffrey,Martinez,1968-08-28,jeffrey.martinez17@example.com,73678 Nicholson Passage,Detroit,MI,47254,2020-09-29,Mass,Pending
c00018,Bridget,Cunningham,1950-06-30,bridget.cunningham18@example.com,48628 Glenn Wells,Boston,MA,75356,2023-04-12,Mass,Approved
c00019,Lisa,Jones,1965-12-12,lisa.jones19@example.com,30705 Joshua View,Seattle,WA,74760,2020-03-21,Mass,Approved
c00020,Adam,Hubbard,1991-08-25,adam.hubbard20@example.com,610 Nathan Ranch Suite 279,Chicago,IL,51498,2019-01-17,Mass,Approved
c00021,Linda,Clark,1972-07-18,linda.clark21@example.com,2414 Paul Estates Apt. 333,Chicago,IL,37261,2022-03-16,Mass,Approved
c00022,Helen,Robinson,1998-02-07,helen.robinson22@example.com,680 Thomas Curve Apt. 903,Atlanta,GA,69395,2023-12-15,Mass,Approved
c00023,Matthew,Kane,1960-10-18,matthew.kane23@example.com,446 York Mount Suite 374,Newark,NJ,69240,2021-11-28,Mass,Approved
c00024,Eric,Murphy,1988-06-18,eric.murphy24@example.com,108 Hoffman Ranch Suite 417,Portland,OR,63972,2023-06-01,Mass,Approved
c00025,Susan,Hernandez,1995-02-21,susan.hernandez25@example.com,4544 Lopez Path,Phoenix,AZ,16556,2022-01-05,Mass,Approved
c00026,Matthew,Lester,2002-07-20,matthew.lester26@example.com,96520 Bright Green,Houston,TX,52550,2019-12-28,Mass,Approved
c00027,Christopher,Smith,1978-08-03,christopher.smith27@example.com,6099 Matthew Station Apt. 875,Chicago,IL,65252,2024-02-04,Mass Affluent,Approved
c00028,Colin,Garrison,2006-02-26,colin.garrison28@example.com,82417 Joyce Stream Apt. 513,San Francisco,CA,95505,2019-01-10,Mass,Approved
c00029,Melanie,Thomas,1978-03-30,melanie.thomas29@example.com,46554 Ford Crest Suite 099,Detroit,MI,57300,2023-03-17,Mass,Approved
c00030,Cassandra,Anderson,1949-06-19,cassandra.anderson30@example.com,3816 Gutierrez Ways,Detroit,MI,40844,2017-11-06,Mass,Approved
c00031,Lindsay,King,1956-11-10,lindsay.king31@example.com,35697 Leslie Stravenue,Detroit,MI,60021,2019-02-23,Mass,Approved
c00032,Jessica,Thompson,1954-03-05,jessica.thompson32@example.com,75250 Shannon Fords,Atlanta,GA,25951,2022-10-28,Mass,Approved
c00033,Amanda,Guerrero,1984-04-28,amanda.guerrero33@example.com,271 Christina Roads,Philadelphia,PA,18162,2020-07-01,Mass,Approved
c00034,Teresa,Johnson,2003-01-22,teresa.johnson34@example.com,6760 Amanda Street Suite 058,Chicago,IL,71028,2024-02-12,Mass,Approved
c00035,Nicholas,Smith,1997-12-14,nicholas.smith35@example.com,03354 Curtis Parkway,Seattle,WA,98756,2024-03-15,Mass,Rejected
c00036,Andrea,Tyler,1946-08-20,andrea.tyler36@example.com,10447 Hamilton Spur Apt. 575,Philadelphia,PA,86140,2017-05-11,Mass Affluent,Approved
c00037,Maria,Young,1989-08-14,maria.young37@example.com,60332 Jessica Radial,Portland,OR,62529,2018-08-02,Affluent,Approved
c00038,Christine,Morris,1953-04-19,christine.morris38@example.com,50648 Brittney Causeway,Seattle,WA,13622,2023-10-08,Mass,Approved
c00039,Michelle,Thompson,1958-08-08,michelle.thompson39@example.com,001 Wallace Crossing,Miami,FL,98917,2022-09-28,Mass,Approved
c00040,Barbara,Williams,1986-02-26,barbara.williams40@example.com,2304 Stanley Shore Suite 992,Phoenix,AZ,50466,2023-06-03,Mass Affluent,Approved
c00041,Janet,Harmon,1981-05-06,janet.harmon41@example.com,89141 Tyler Rest Apt. 483,Philadelphia,PA,36069,2021-11-04,Mass,Approved
c00042,Brandon,Fox,1999-10-03,brandon.fox42@example.com,642 Amy Fords Suite 530,Phoenix,AZ,90323,2022-09-03,Mass Affluent,Pending
c00043,Jeremy,Reese,1953-02-21,jeremy.reese43@example.com,119 Hernandez Course,Dallas,TX,77176,2022-05-19,Mass,Approved
c00044,Keith,Alvarez,1992-02-22,keith.alvarez44@example.com,143 Hinton Hill,Miami,FL,77465,2020-10-08,Affluent,Approved
c00045,Christopher,Strickland,1989-08-07,christopher.strickland45@example.com,0120 Ward Springs Suite 611,Philadelphia,PA,34997,2023-06-28,Affluent,Approved
c00046,Jesse,Palmer,1978-05-08,jesse.palmer46@example.com,22557 Johns Course,Seattle,WA,99262,2017-12-11,Mass,Pending
c00047,Craig,Rodriguez,1972-12-11,craig.rodriguez47@example.com,2166 Nelson Lights Suite 621,Chicago,IL,50758,2019-03-09,Mass,Approved
c00048,Joshua,Gordon,1999-06-22,joshua.gordon48@example.com,021 Pruitt Orchard,Los Angeles,CA,57827,2018-12-03,Mass,Approved
c00049,Cynthia,Dougherty,1962-12-27,cynthia.dougherty49@example.com,96590 Timothy Oval Apt. 670,Phoenix,AZ,77586,2023-08-25,Mass,Approved
c00050,Michael,Williams,2005-06-04,michael.williams50@example.com,5089 Tiffany Skyway,Houston,TX,69399,2019-05-05,Mass,Approved
c00051,Mitchell,Logan,1941-05-22,mitchell.logan51@example.com,891 Stanley Gateway Suite 562,Dallas,TX,25505,2018-04-26,Affluent,Approved
c00052,Jason,Camacho,2004-01-28,jason.camacho52@example.com,28772 Karen Islands,Boston,MA,37223,2023-08-08,Mass,Approved
c00053,Joseph,Boyd,2005-10-08,joseph.boyd53@example.com,4083 Powell Freeway,Miami,FL,42506,2018-12-30,Mass,Approved
c00054,Sharon,Ellis,1948-04-28,sharon.ellis54@example.com,7971 West Crest,Minneapolis,MN,95278,2022-02-21,Mass Affluent,Approved
c00055,Deborah,Maynard,2008-04-26,deborah.maynard55@example.com,016 Johnson Plaza Apt. 199,Chicago,IL,74305,2018-09-15,Mass,Approved
c00056,Chelsea,Brown,1972-11-29,chelsea.brown56@example.com,837 Cox Center Apt. 758,Newark,NJ,42970,2021-03-06,Mass,Approved
c00057,George,Mendoza,1956-11-04,george.mendoza57@example.com,571 Katherine Forges Apt. 554,Detroit,MI,76125,2018-08-03,Affluent,Approved
c00058,Jessica,Morales,1981-06-12,jessica.morales58@example.com,102 Taylor Stravenue Suite 149,Newark,NJ,76465,2023-10-28,Mass,Approved
c00059,Frank,Parks,1954-04-03,frank.parks59@example.com,16373 Rodriguez Mall,Dallas,TX,45479,2021-11-21,Mass,Approved
c00060,Noah,Henry,2002-07-29,noah.henry60@example.com,917 Barrett Parkways,Houston,TX,46282,2022-10-25,Mass,Approved
c00061,Veronica,Browning,1977-11-20,veronica.browning61@example.com,0808 Roberson Orchard,Portland,OR,90486,2023-01-06,Affluent,Approved
c00062,Danielle,Jones,1993-01-30,danielle.jones62@example.com,922 Paul Rapid,Phoenix,AZ,60563,2022-07-15,Mass,Approved
c00063,Angela,Miller,1966-03-26,angela.miller63@example.com,669 Joshua Junctions Suite 722,Atlanta,GA,23456,2021-12-11,Mass,Approved
c00064,Gabrielle,Franklin,1976-08-20,gabrielle.franklin64@example.com,848 Joseph Plaza Apt. 339,Los Angeles,CA,74780,2023-12-26,Mass,Approved
c00065,Megan,Jones,1964-10-10,megan.jones65@example.com,522 Page Trace Suite 879,Minneapolis,MN,63061,2019-05-08,Mass,Approved
c00066,Kimberly,Hill,1958-02-18,kimberly.hill66@example.com,846 Alexandra Burg Suite 200,Miami,FL,55804,2020-08-08,Affluent,Approved
c00067,Jeremy,Schultz,1975-03-21,jeremy.schultz67@example.com,2442 Hannah Hill,Portland,OR,75259,2018-05-16,Mass,Approved
c00068,Antonio,Kelley,1974-02-28,antonio.kelley68@example.com,057 Christina Spring,Miami,FL,91637,2019-05-14,Affluent,Approved
c00069,Leslie,Nguyen,1947-01-20,leslie.nguyen69@example.com,863 Schwartz Causeway,Boston,MA,39739,2023-10-23,Mass,Approved
c00070,Joseph,Vang,2007-01-29,joseph.vang70@example.com,6580 Julia Flats Suite 359,Chicago,IL,47737,2024-06-10,Mass,Approved
c00071,Jason,Schmidt,1972-04-09,jason.schmidt71@example.com,347 Tonya Club,Phoenix,AZ,27054,2021-08-15,Mass Affluent,Approved
c00072,Sherri,Chavez,1997-06-13,sherri.chavez72@example.com,81606 Hawkins Curve,New York,NY,68236,2021-02-26,Mass,Pending
c00073,Nancy,Jacobs,2002-07-10,nancy.jacobs73@example.com,405 Mckinney Drives,Minneapolis,MN,46244,2023-01-30,Mass,Approved
c00074,Leonard,Garcia,1965-07-22,leonard.garcia74@example.com,59094 Tyler Plaza,Philadelphia,PA,40812,2018-09-30,Mass Affluent,Approved
c00075,Diana,Miles,1968-06-29,diana.miles75@example.com,58328 Kristie Estate Suite 886,Dallas,TX,72687,2020-05-08,Mass,Approved
c00076,Randall,Farrell,1978-08-07,randall.farrell76@example.com,3355 Carter Terrace,Chicago,IL,46734,2019-01-08,Mass,Approved
c00077,Robin,Curtis,1955-05-24,robin.curtis77@example.com,015 Allen Row Apt. 056,Charlotte,NC,51793,2024-02-17,Affluent,Approved
c00078,Stephen,Mack,1950-04-09,stephen.mack78@example.com,4840 Robertson Pass,Atlanta,GA,49604,2018-06-26,Mass,Approved
c00079,Joseph,Le,1958-01-29,joseph.le79@example.com,0435 Stacy Expressway Apt. 133,Detroit,MI,33268,2023-05-10,Mass,Approved
c00080,John,Lewis,2003-11-29,john.lewis80@example.com,38612 Stephen Isle Apt. 110,Phoenix,AZ,21322,2021-06-02,Mass,Approved
c00081,Anna,Hayes,1979-09-24,anna.hayes81@example.com,8193 Russell Mission,Portland,OR,84451,2021-06-28,Mass,Approved
c00082,Jose,Perez,1968-09-28,jose.perez82@example.com,5061 Darlene River Apt. 901,Minneapolis,MN,18255,2018-06-10,Mass,Approved
c00083,Brenda,Morgan,1950-09-17,brenda.morgan83@example.com,144 Juan Mill Suite 607,Newark,NJ,39239,2022-10-15,Mass,Approved
c00084,Rachael,Chavez,1962-10-11,rachael.chavez84@example.com,326 Choi Divide,Los Angeles,CA,70074,2023-01-29,Mass,Approved
c00085,Reginald,Perry,1966-03-06,reginald.perry85@example.com,508 David Avenue Suite 881,Houston,TX,21816,2022-04-15,Mass,Approved
c00086,Jeffrey,Davis,1997-01-06,jeffrey.davis86@example.com,53682 Jack Ridges Suite 312,Phoenix,AZ,68996,2022-02-12,Mass,Approved
c00087,Whitney,Simmons,1974-04-20,whitney.simmons87@example.com,781 Powers Glen,Newark,NJ,75975,2023-07-20,Mass,Approved
c00088,William,Ortega,1984-11-10,william.ortega88@example.com,97552 Craig River,Charlotte,NC,69661,2023-08-05,Mass,Approved
c00089,Christopher,Brooks,1986-12-01,christopher.brooks89@example.com,57759 Steele Drives,Dallas,TX,37452,2023-02-25,Mass Affluent,Approved
c00090,Brandon,Hernandez,1957-11-05,brandon.hernandez90@example.com,6205 Kristen Station Suite 452,Seattle,WA,11778,2021-04-06,Mass,Approved
c00091,Daniel,Leblanc,1996-03-19,daniel.leblanc91@example.com,7754 Arnold Extensions Apt. 428,Detroit,MI,89861,2022-04-04,Mass,Approved
c00092,Courtney,Jones,2006-01-26,courtney.jones92@example.com,1108 Lisa Prairie,San Francisco,CA,39389,2021-11-13,Mass Affluent,Approved
c00093,Laura,Decker,1983-12-25,laura.decker93@example.com,308 Stephens Plains Suite 256,Portland,OR,82450,2019-04-03,Mass,Approved
c00094,Robert,Davis,1973-09-15,robert.davis94@example.com,427 Randy Parkway,Miami,FL,27802,2023-01-28,Mass,Pending
c00095,Bryan,Davis,1951-10-15,bryan.davis95@example.com,392 Sean Fall,San Francisco,CA,24616,2017-09-23,Mass Affluent,Approved
c00096,Patrick,Rodgers,1994-05-28,patrick.rodgers96@example.com,750 Kathleen Fort,Atlanta,GA,80033,2018-12-28,Mass,Approved
c00097,Wendy,Cain,1951-11-10,wendy.cain97@example.com,5303 Hughes Motorway,Charlotte,NC,94575,2023-08-09,Mass,Approved
c00098,Allison,Hawkins,1989-04-30,allison.hawkins98@example.com,51844 Nicholas Lane,Phoenix,AZ,87456,2022-06-29,Mass,Approved
c00099,Tasha,Willis,1973-07-21,tasha.willis99@example.com,184 Kaufman Fork Suite 557,Houston,TX,77612,2023-07-15,Mass,Approved
c00100,Michelle,Hoffman,2002-09-12,michelle.hoffman100@example.com,082 Martin Club Suite 322,Boston,MA,32201,2022-10-27,Mass,Approved
c00101,Alexander,Rivera,1977-03-19,alexander.rivera101@example.com,9136 Cortez Orchard,San Francisco,CA,92188,2022-01-29,Mass Affluent,Pending
c00102,Jennifer,Martinez,1983-12-28,jennifer.martinez102@example.com,3926 John Crossroad Apt. 280,Boston,MA,70106,2023-12-15,Mass,Approved
c00103,Erin,Gomez,1944-05-04,erin.gomez103@example.com,24286 Natalie Stream,Portland,OR,25494,2024-11-19,Mass Affluent,Pending
c00104,Amanda,Ortega,1942-08-25,amanda.ortega104@example.com,37977 Jeffrey Loop Apt. 929,New York,NY,21642,2021-06-29,Affluent,Approved
c00105,Joseph,Christensen,1997-12-03,joseph.christensen105@example.com,57991 Nicholas Curve Apt. 038,Houston,TX,88404,2019-05-26,Mass,Approved
c00106,Danielle,Parrish,2004-08-14,danielle.parrish106@example.com,91279 Natalie Place Apt. 172,Houston,TX,34763,2022-07-31,Mass Affluent,Approved
c00107,Daniel,Griffith,1985-10-14,daniel.griffith107@example.com,686 Golden Square,Houston,TX,78930,2018-02-14,Mass Affluent,Approved
c00108,Ryan,Schmitt,1992-04-27,ryan.schmitt108@example.com,76599 Ronald Glens Suite 314,Phoenix,AZ,22478,2022-01-18,Affluent,Approved
c00109,Shawn,Burke,1968-05-22,shawn.burke109@example.com,3009 April Lane Apt. 565,Minneapolis,MN,35248,2017-10-19,Mass,Approved
c00110,Stephanie,Bell,1997-08-22,stephanie.bell110@example.com,69448 Cunningham Ridge,Houston,TX,35516,2023-02-11,Mass,Pending
c00111,Nancy,Lane,1956-02-01,nancy.lane111@example.com,636 White Points Suite 449,Miami,FL,35299,2020-09-09,Mass,Approved
c00112,Jose,Lewis,1988-06-07,jose.lewis112@example.com,621 Sean Squares Apt. 138,Houston,TX,70726,2018-11-25,Mass,Approved
c00113,Vincent,Douglas,1940-12-20,vincent.douglas113@example.com,8902 Oconnell Avenue Apt. 279,Chicago,IL,92295,2024-07-12,Mass,Approved
c00114,Guy,Walker,1974-09-26,guy.walker114@example.com,14351 Jenny Locks Suite 902,Chicago,IL,91929,2017-07-26,Mass,Approved
c00115,Rita,Rodriguez,1965-09-22,rita.rodriguez115@example.com,0384 Arthur Rapid Apt. 920,Chicago,IL,76739,2022-01-31,Mass,Approved
c00116,Monica,Bruce,1982-05-12,monica.bruce116@example.com,02146 Caldwell Lodge Apt. 801,Detroit,MI,28227,2021-01-08,Affluent,Approved
c00117,Kenneth,Richardson,1985-09-08,kenneth.richardson117@example.com,489 Bailey Via,Newark,NJ,96452,2019-12-23,Mass,Approved
c00118,Danielle,Farmer,1982-04-09,danielle.farmer118@example.com,93769 Jose Lodge Apt. 818,Philadelphia,PA,58787,2019-11-11,Mass,Approved
c00119,Chelsea,Andrews,1973-03-16,chelsea.andrews119@example.com,1848 Benson Lane Suite 357,Charlotte,NC,59137,2024-10-23,Mass,Approved
c00120,Eric,Aguirre,1973-07-09,eric.aguirre120@example.com,071 Jones Roads Apt. 356,Boston,MA,73125,2018-01-25,Mass,Approved
c00121,Kathryn,Bruce,1940-10-18,kathryn.bruce121@example.com,804 Justin Locks Suite 182,Chicago,IL,79218,2020-01-07,Mass,Approved
c00122,Amber,Villegas,1977-11-10,amber.villegas122@example.com,5394 Stacey Springs Apt. 733,Houston,TX,95763,2017-01-06,Mass,Approved
c00123,Kimberly,Cardenas,1941-02-25,kimberly.cardenas123@example.com,3333 Moore Coves,Houston,TX,62414,2021-03-26,Mass,Approved
c00124,Alyssa,Austin,1976-05-07,alyssa.austin124@example.com,79080 Watson Island,Chicago,IL,64905,2020-02-05,Mass,Approved
c00125,Aaron,Day,1959-01-11,aaron.day125@example.com,472 Sanders Terrace Apt. 086,Portland,OR,77097,2021-06-23,Mass,Approved
c00126,Mario,Johnson,2006-10-25,mario.johnson126@example.com,085 Dalton Trail Apt. 718,Minneapolis,MN,32959,2017-11-20,Mass,Approved
c00127,Andrew,Hickman,1941-07-06,andrew.hickman127@example.com,0036 Mark Ridge Suite 284,Newark,NJ,37694,2018-05-07,Mass,Approved
c00128,Sarah,Gallegos,1995-08-23,sarah.gallegos128@example.com,7955 Victor Fords,Dallas,TX,66293,2017-09-26,Mass,Approved
c00129,Natasha,Adams,1986-03-07,natasha.adams129@example.com,556 Hayes Ports Apt. 931,Detroit,MI,15771,2020-12-20,Mass,Approved
c00130,Marie,White,1995-03-02,marie.white130@example.com,86632 Thomas Branch Apt. 672,Dallas,TX,38844,2018-09-03,Mass,Pending
c00131,Kyle,Park,2002-03-19,kyle.park131@example.com,4489 Raymond Spurs Apt. 034,Detroit,MI,74619,2022-02-18,Mass,Approved
c00132,Brian,Parker,1947-08-16,brian.parker132@example.com,175 Ward Points Suite 506,Minneapolis,MN,97851,2021-04-26,Mass Affluent,Approved
c00133,Natalie,Morgan,1946-11-24,natalie.morgan133@example.com,9399 Tiffany Haven,Newark,NJ,56754,2018-12-04,Affluent,Approved
c00134,Stacey,Smith,1950-06-22,stacey.smith134@example.com,8771 Austin Mountain Apt. 256,Minneapolis,MN,45970,2024-05-09,Affluent,Approved
c00135,Christopher,Kane,1953-05-26,christopher.kane135@example.com,12535 Delgado Station Suite 964,Dallas,TX,49633,2019-04-28,Mass,Approved
c00136,Todd,Knight,1976-02-23,todd.knight136@example.com,9876 Ivan Brooks Apt. 341,Atlanta,GA,71688,2024-11-15,Mass,Approved
c00137,Chad,Morales,1995-10-13,chad.morales137@example.com,61117 Anthony Locks,Phoenix,AZ,59002,2020-05-11,Mass,Approved
c00138,Kathleen,Thomas,1958-07-11,kathleen.thomas138@example.com,49216 Perez Street,Boston,MA,12090,2021-03-09,Mass Affluent,Approved
c00139,Katie,Schultz,1967-05-03,katie.schultz139@example.com,2282 Austin Knolls Suite 778,Charlotte,NC,58531,2021-04-03,Mass Affluent,Approved
c00140,David,Johnson,1965-09-18,david.johnson140@example.com,728 Brittany Motorway Suite 884,Detroit,MI,46005,2021-01-18,Mass Affluent,Approved
c00141,Thomas,Reese,1967-12-16,thomas.reese141@example.com,8317 Diaz Green Apt. 400,Portland,OR,73072,2021-01-25,Mass Affluent,Approved
c00142,Andrea,Lewis,1978-10-07,andrea.lewis142@example.com,4780 Arroyo Neck,Miami,FL,88759,2021-09-29,Mass,Approved
c00143,Joseph,Barnes,2007-09-07,joseph.barnes143@example.com,64930 Lopez Points Suite 632,Charlotte,NC,96620,2021-05-24,Mass Affluent,Rejected
c00144,Monique,Peterson,1955-09-15,monique.peterson144@example.com,3416 Zachary Union Suite 484,Minneapolis,MN,64920,2020-06-16,Mass Affluent,Approved
c00145,Rodney,Wood,1986-11-11,rodney.wood145@example.com,12241 Williamson Groves Suite 350,San Francisco,CA,42630,2018-11-24,Mass,Approved
c00146,Jason,Griffith,1998-01-01,jason.griffith146@example.com,80214 Martinez Mill,San Francisco,CA,49954,2020-08-02,Affluent,Approved
c00147,Amber,Frank,1984-10-19,amber.frank147@example.com,12073 Fisher Turnpike,Philadelphia,PA,25881,2019-11-12,Mass,Approved
c00148,Jessica,Bradley,1998-09-15,jessica.bradley148@example.com,7051 Brian Trail Suite 187,Charlotte,NC,94234,2018-04-25,Affluent,Approved
c00149,James,Miller,1991-12-31,james.miller149@example.com,46013 Wise Mills,Los Angeles,CA,86258,2017-02-02,Mass Affluent,Approved
c00150,Larry,Williams,1946-09-15,larry.williams150@example.com,037 Adriana Fords,Newark,NJ,86858,2024-02-18,Mass,Approved
c00151,Wanda,Moore,1966-02-19,wanda.moore151@example.com,4520 Jon Route Suite 350,San Francisco,CA,39531,2019-04-21,Mass,Approved
c00152,Debra,Williamson,1977-12-06,debra.williamson152@example.com,36502 Richards Locks,Miami,FL,38999,2023-03-15,Mass,Approved
c00153,Samuel,Craig,1944-02-29,samuel.craig153@example.com,09792 Townsend Gateway,San Francisco,CA,87095,2023-06-06,Mass Affluent,Approved
c00154,Zachary,Nelson,1940-12-27,zachary.nelson154@example.com,1950 Michael Drives,Charlotte,NC,59009,2018-08-30,Mass Affluent,Approved
c00155,David,Stanley,1952-01-01,david.stanley155@example.com,73585 Quinn Brooks,Chicago,IL,73419,2024-06-14,Mass,Approved
c00156,Jeffrey,Tucker,1974-05-03,jeffrey.tucker156@example.com,2407 Hansen Plains Suite 392,Dallas,TX,54084,2018-03-23,Mass Affluent,Approved
c00157,Matthew,Ramos,1969-11-08,matthew.ramos157@example.com,7498 Casey Drives Suite 448,New York,NY,49849,2018-11-04,Mass,Approved
c00158,Brianna,Nelson,1993-09-07,brianna.nelson158@example.com,0862 Christine Lakes Apt. 518,Minneapolis,MN,66898,2017-01-18,Mass,Approved
c00159,Jerry,Fischer,1978-10-29,jerry.fischer159@example.com,87829 Morris Row Suite 118,Detroit,MI,83168,2019-08-30,Mass,Approved
c00160,Jeffrey,Wilson,1998-09-09,jeffrey.wilson160@example.com,22031 Lee Bypass,Dallas,TX,40070,2018-01-09,Mass,Approved
c00161,Chad,Jordan,1946-10-31,chad.jordan161@example.com,789 Williams Forges Apt. 037,Los Angeles,CA,82823,2024-01-20,Mass,Rejected
c00162,Crystal,Campbell,1976-04-05,crystal.campbell162@example.com,0586 Bauer Centers,Dallas,TX,31978,2017-11-20,Mass,Pending
c00163,Jeremy,Gregory,1943-03-29,jeremy.gregory163@example.com,014 Shirley Path Apt. 138,Minneapolis,MN,46254,2023-09-20,Mass,Approved
c00164,Rebecca,Tucker,1954-09-21,rebecca.tucker164@example.com,38392 Reese Trafficway Suite 761,Detroit,MI,92140,2022-06-28,Mass,Approved
c00165,Michele,Estrada,1999-05-19,michele.estrada165@example.com,86852 Mahoney Island,Detroit,MI,95900,2023-12-23,Mass Affluent,Approved
c00166,Chad,Williams,2000-09-13,chad.williams166@example.com,6659 Anna Forest Suite 845,Seattle,WA,93148,2021-10-16,Mass,Approved
c00167,John,Foster,1972-09-06,john.foster167@example.com,6004 Zachary Hollow Apt. 433,Atlanta,GA,38443,2019-01-05,Mass Affluent,Approved
c00168,Elizabeth,Greene,1943-07-07,elizabeth.greene168@example.com,48889 Clinton Mount Suite 224,Boston,MA,85899,2022-11-10,Mass,Approved
c00169,Jason,Smith,1945-05-27,jason.smith169@example.com,334 Davis Locks Apt. 157,Charlotte,NC,94247,2018-06-06,Mass,Approved
c00170,David,Turner,2003-04-15,david.turner170@example.com,9194 Jessica Ports,Newark,NJ,98038,2020-02-26,Mass,Approved
c00171,Selena,Clark,2001-07-02,selena.clark171@example.com,05566 Molly Forks Apt. 604,Philadelphia,PA,11881,2019-12-22,Mass,Rejected
c00172,Ashley,Taylor,1978-08-31,ashley.taylor172@example.com,8925 Eric Spring,Philadelphia,PA,77049,2017-06-30,Mass,Approved
c00173,Thomas,Scott,1942-08-02,thomas.scott173@example.com,9981 Ryan Turnpike Suite 225,Dallas,TX,99707,2021-07-20,Mass,Approved
c00174,Kristen,Murphy,2003-07-03,kristen.murphy174@example.com,9086 Miller Parkway,Houston,TX,78820,2022-03-31,Mass,Rejected
c00175,Lindsey,Smith,1961-09-24,lindsey.smith175@example.com,227 Tony Run Apt. 898,Houston,TX,30985,2017-01-18,Mass,Approved
c00176,James,Burgess,2005-09-23,james.burgess176@example.com,14659 Daniel Loop,Detroit,MI,78633,2020-07-19,Mass,Approved
c00177,Collin,Thompson,1980-04-07,collin.thompson177@example.com,5355 Kayla Extension Suite 979,Houston,TX,19471,2020-02-02,Mass,Approved
c00178,Ryan,James,1991-07-02,ryan.james178@example.com,0335 Katherine Walk,New York,NY,53254,2022-08-19,Mass Affluent,Approved
c00179,Rodney,Padilla,1988-10-23,rodney.padilla179@example.com,03924 Matthew Unions,San Francisco,CA,66360,2023-04-12,Mass,Approved
c00180,Stuart,Mason,1967-06-07,stuart.mason180@example.com,7705 Jody Forest,Chicago,IL,51080,2023-08-24,Affluent,Approved
c00181,Jessica,Whitaker,1945-07-30,jessica.whitaker181@example.com,848 Dean Divide,Los Angeles,CA,72985,2023-03-20,Mass Affluent,Pending
c00182,Emily,Drake,1951-05-24,emily.drake182@example.com,9804 Brian Flats,Newark,NJ,31620,2023-06-11,Affluent,Approved
c00183,Tracey,Jones,1956-09-12,tracey.jones183@example.com,70164 Lin Brook Suite 636,Minneapolis,MN,64559,2019-01-12,Mass Affluent,Approved
c00184,Corey,Hensley,1997-02-07,corey.hensley184@example.com,7981 James Mount,Dallas,TX,68033,2024-07-15,Mass,Approved
c00185,Richard,Williams,1966-10-23,richard.williams185@example.com,38457 Garner Brook,Detroit,MI,67041,2019-12-21,Mass,Approved
c00186,Matthew,Smith,2001-04-24,matthew.smith186@example.com,554 Wendy Parkway Suite 046,Chicago,IL,36038,2017-05-31,Mass,Approved
c00187,Michelle,Morse,1962-11-27,michelle.morse187@example.com,432 Prince Shoals,New York,NY,37484,2018-11-18,Mass Affluent,Approved
c00188,John,Atkins,1991-09-24,john.atkins188@example.com,68936 Ashley Meadow,Miami,FL,33202,2021-10-12,Mass,Approved
c00189,James,Johnston,1949-11-11,james.johnston189@example.com,578 Jamie Dam Apt. 248,Miami,FL,51559,2024-07-11,Mass,Approved
